time;hour;open;high;low;close;volume
09/09/2024 ;12:00:00;55198.45;55312.22;54984.62;55301.19;37
09/09/2024 ;13:00:00;55311.49;55699.9;55186.43;55653.35;55
09/09/2024 ;14:00:00;55653.34;55698.94;54834.59;54888.69;54
09/09/2024 ;15:00:00;54885.45;55451.69;54838.08;55423.17;53
09/09/2024 ;16:00:00;55367.01;56500.88;55332.33;56423.17;60
09/09/2024 ;17:00:00;56423.18;56734.28;56326.07;56533.89;56
09/09/2024 ;18:00:00;56533.89;56668.37;56309.47;56509.13;49
09/09/2024 ;19:00:00;56554.23;57157.98;56503.61;57112.85;51
09/09/2024 ;20:00:00;57135.03;57135.03;56811.71;56943.96;42
09/09/2024 ;21:00:00;56968.94;58000.0;56968.93;57350.0;56
09/09/2024 ;22:00:00;57350.0;57547.09;57199.11;57262.15;46
09/09/2024 ;23:00:00;57198.11;57260.85;56900.0;57036.68;51
10/09/2024 ;00:00:00;57007.79;57015.87;56639.05;56893.34;55
10/09/2024 ;01:00:00;56824.81;56946.1;56723.14;56899.69;52
10/09/2024 ;02:00:00;56887.41;56899.69;56599.98;56723.35;40
10/09/2024 ;03:00:00;56788.48;56791.1;56527.81;56571.04;41
10/09/2024 ;04:00:00;56570.49;56690.0;56425.6;56623.58;39
10/09/2024 ;05:00:00;56622.52;56900.0;56555.02;56838.2;32
10/09/2024 ;06:00:00;56821.0;56866.3;56742.01;56813.8;24
10/09/2024 ;07:00:00;56839.89;57179.25;56734.12;57046.71;35
10/09/2024 ;08:00:00;57177.8;57257.8;57034.7;57050.56;32
10/09/2024 ;09:00:00;57053.0;57235.27;56933.5;57169.05;29
10/09/2024 ;10:00:00;57144.48;57160.29;56983.31;57097.4;26
10/09/2024 ;11:00:00;57123.78;57200.0;57014.98;57200.0;32
10/09/2024 ;12:00:00;57132.07;57285.74;57118.42;57241.28;36
10/09/2024 ;13:00:00;57241.04;57241.04;56653.73;56723.14;43
10/09/2024 ;14:00:00;56749.62;57107.13;56547.53;56741.99;47
10/09/2024 ;15:00:00;56781.5;57068.7;56634.9;56653.67;39
10/09/2024 ;16:00:00;56660.4;56893.34;56558.81;56873.02;28
10/09/2024 ;17:00:00;56833.17;57300.88;56804.81;57107.71;44
10/09/2024 ;18:00:00;57134.41;57829.66;57134.41;57566.95;45
10/09/2024 ;19:00:00;57567.55;57872.53;57334.99;57872.53;50
10/09/2024 ;20:00:00;57872.53;57881.16;57565.1;57565.1;44
10/09/2024 ;21:00:00;57633.68;57732.2;57431.0;57557.28;33
10/09/2024 ;22:00:00;57443.25;57634.89;57443.25;57628.44;39
10/09/2024 ;23:00:00;57626.63;57806.42;57571.71;57668.97;36
11/09/2024 ;00:00:00;57596.22;57686.96;57455.6;57608.52;39
11/09/2024 ;01:00:00;57608.52;57701.07;56675.73;56810.37;50
11/09/2024 ;02:00:00;56723.14;57118.0;56720.92;56885.9;38
11/09/2024 ;03:00:00;56916.15;56951.36;56696.26;56765.56;41
11/09/2024 ;04:00:00;56792.84;56792.84;56299.97;56530.0;37
11/09/2024 ;05:00:00;56492.29;56529.97;56081.19;56286.6;40
11/09/2024 ;06:00:00;56235.28;56530.0;56220.9;56482.9;27
11/09/2024 ;07:00:00;56417.2;56723.14;56417.2;56698.44;32
11/09/2024 ;08:00:00;56670.83;56670.83;56381.5;56446.61;28
11/09/2024 ;09:00:00;56489.27;56686.4;56446.61;56627.36;30
11/09/2024 ;10:00:00;56577.2;56669.68;56358.91;56534.79;35
11/09/2024 ;11:00:00;56538.69;56790.9;56535.91;56723.3;28
11/09/2024 ;12:00:00;56701.41;56815.6;56317.13;56678.77;37
11/09/2024 ;13:00:00;56776.87;57084.7;55667.1;55685.81;46
11/09/2024 ;14:00:00;55665.99;56081.76;55661.03;55870.93;55
11/09/2024 ;15:00:00;55913.0;56952.35;55913.0;56616.5;50
11/09/2024 ;16:00:00;56735.36;57489.25;56669.95;57235.32;53
11/09/2024 ;17:00:00;57279.28;57848.06;57279.28;57639.87;52
11/09/2024 ;18:00:00;57715.38;57949.44;57407.22;57483.76;50
11/09/2024 ;19:00:00;57470.65;57733.52;57344.2;57582.13;45
11/09/2024 ;20:00:00;57582.13;57638.08;57430.41;57526.21;30
11/09/2024 ;21:00:00;57525.56;57526.21;57279.92;57398.6;35
11/09/2024 ;22:00:00;57371.49;57554.2;57261.67;57457.93;37
11/09/2024 ;23:00:00;57497.93;57579.24;57399.1;57497.95;42
12/09/2024 ;00:00:00;57497.88;57881.16;57400.57;57624.8;47
12/09/2024 ;01:00:00;57687.67;58200.0;57626.4;58066.55;41
12/09/2024 ;02:00:00;58083.58;58445.58;57925.29;57985.7;53
12/09/2024 ;03:00:00;57985.69;58305.99;57985.69;58205.63;32
12/09/2024 ;04:00:00;58281.33;58428.21;58191.8;58204.9;36
12/09/2024 ;05:00:00;58262.48;58262.48;57983.9;58000.0;39
12/09/2024 ;06:00:00;57999.99;58121.58;57934.31;57999.39;26
12/09/2024 ;07:00:00;57999.97;58185.89;57907.62;58117.31;30
12/09/2024 ;08:00:00;58119.49;58328.32;58119.49;58238.47;28
12/09/2024 ;09:00:00;58215.01;58238.47;58005.61;58037.04;31
12/09/2024 ;10:00:00;57995.07;58106.85;57950.25;58003.09;26
12/09/2024 ;11:00:00;57950.25;58105.8;57911.75;58086.18;16
12/09/2024 ;12:00:00;58152.31;58152.31;57596.73;57701.58;38
12/09/2024 ;13:00:00;57703.11;57845.75;57432.38;57570.87;43
12/09/2024 ;14:00:00;57582.76;58445.0;57579.15;57600.0;56
12/09/2024 ;15:00:00;57600.0;57862.71;57509.4;57594.47;48
12/09/2024 ;16:00:00;57612.07;58054.27;57579.17;58054.27;41
12/09/2024 ;17:00:00;58010.21;58373.86;58004.85;58319.1;45
12/09/2024 ;18:00:00;58319.13;58428.23;57977.92;58188.17;33
12/09/2024 ;19:00:00;58122.33;58384.89;58122.33;58355.08;40
12/09/2024 ;20:00:00;58341.27;58355.08;58134.43;58225.1;28
12/09/2024 ;21:00:00;58153.01;58330.91;57688.8;57917.4;40
12/09/2024 ;22:00:00;57949.9;58167.6;57915.97;58091.06;35
12/09/2024 ;23:00:00;58137.09;58176.59;58014.21;58067.31;37
13/09/2024 ;00:00:00;58067.31;58207.49;58036.24;58062.69;28
13/09/2024 ;01:00:00;58061.46;58144.16;57870.1;58144.16;29
13/09/2024 ;02:00:00;58051.88;58143.07;57984.28;58088.47;22
13/09/2024 ;03:00:00;58073.29;58073.3;57849.48;57849.48;39
13/09/2024 ;04:00:00;57917.37;57990.89;57842.51;57849.48;31
13/09/2024 ;05:00:00;57907.95;57956.76;57898.08;57956.73;15
13/09/2024 ;06:00:00;57897.45;57956.75;57763.69;57821.34;26
13/09/2024 ;07:00:00;57821.12;58074.09;57775.77;58074.09;29
13/09/2024 ;08:00:00;58053.45;58130.56;57935.73;57988.97;22
13/09/2024 ;09:00:00;57988.15;58123.56;57984.93;58057.18;17
13/09/2024 ;10:00:00;58057.82;58316.53;58025.69;58270.61;32
13/09/2024 ;11:00:00;58318.48;58340.52;57849.48;57905.18;39
13/09/2024 ;12:00:00;57905.06;57954.42;57636.86;57947.9;46
13/09/2024 ;13:00:00;57884.02;58123.56;57733.52;58073.76;37
13/09/2024 ;14:00:00;58085.23;58500.0;57872.53;58399.5;47
13/09/2024 ;15:00:00;58397.23;59580.0;58381.42;59580.0;53
13/09/2024 ;16:00:00;59580.0;59630.0;59305.0;59383.5;47
13/09/2024 ;17:00:00;59383.5;59808.44;59342.92;59571.0;48
13/09/2024 ;18:00:00;59585.08;59775.0;59488.9;59674.32;46
13/09/2024 ;19:00:00;59775.0;59937.39;59652.31;59743.25;47
13/09/2024 ;20:00:00;59663.62;59910.46;59607.51;59840.0;41
13/09/2024 ;21:00:00;59845.88;60250.0;59805.45;60198.91;46
13/09/2024 ;22:00:00;60250.0;60500.01;60199.02;60500.01;52
13/09/2024 ;23:00:00;60463.39;60500.01;60318.42;60433.9;46
14/09/2024 ;00:00:00;60442.97;60450.3;60285.51;60309.63;49
14/09/2024 ;01:00:00;60309.63;60489.0;60309.63;60341.2;33
14/09/2024 ;02:00:00;60402.43;60480.05;60272.5;60327.63;34
14/09/2024 ;03:00:00;60261.91;60363.51;60249.7;60249.7;44
14/09/2024 ;04:00:00;60297.79;60297.79;60176.74;60195.11;24
14/09/2024 ;05:00:00;60245.0;60245.01;59942.96;59942.96;29
14/09/2024 ;06:00:00;60008.05;60052.39;59921.32;59990.7;27
14/09/2024 ;07:00:00;59976.09;60028.99;59914.31;60028.99;27
14/09/2024 ;08:00:00;59957.1;60028.99;59866.04;59931.02;29
14/09/2024 ;09:00:00;59931.09;60000.0;59866.04;59999.99;25
14/09/2024 ;10:00:00;59998.4;59999.99;59814.27;59814.27;22
14/09/2024 ;11:00:00;59862.75;59862.75;59607.4;59721.97;45
14/09/2024 ;12:00:00;59721.64;59836.73;59680.87;59817.03;35
14/09/2024 ;13:00:00;59816.87;59816.87;59640.41;59679.88;28
14/09/2024 ;14:00:00;59746.43;60000.0;59679.0;59931.39;31
14/09/2024 ;15:00:00;59871.73;59961.79;59838.96;59848.49;29
14/09/2024 ;16:00:00;59825.23;59997.95;59809.91;59939.09;28
14/09/2024 ;17:00:00;59992.28;59992.28;59851.18;59929.75;45
14/09/2024 ;18:00:00;59881.75;59929.65;59412.0;59820.86;38
14/09/2024 ;19:00:00;59820.7;59895.29;59739.09;59809.11;26
14/09/2024 ;20:00:00;59859.56;60081.77;59779.31;59977.67;31
14/09/2024 ;21:00:00;59977.66;60040.23;59927.44;59999.67;40
14/09/2024 ;22:00:00;59999.73;60075.0;59911.78;60014.69;26
14/09/2024 ;23:00:00;59954.41;60037.98;59930.11;59999.97;32
15/09/2024 ;00:00:00;59951.11;60053.3;59894.4;60053.3;32
15/09/2024 ;01:00:00;60022.99;60225.83;59954.03;60165.22;34
15/09/2024 ;02:00:00;60173.56;60229.47;60109.19;60169.68;30
15/09/2024 ;03:00:00;60169.68;60229.45;60105.31;60122.23;20
15/09/2024 ;04:00:00;60109.39;60178.84;60064.04;60073.01;29
15/09/2024 ;05:00:00;60078.02;60173.56;60037.21;60102.89;28
15/09/2024 ;06:00:00;60075.14;60104.5;59944.69;59985.91;41
15/09/2024 ;07:00:00;60058.29;60099.39;59976.01;60024.01;20
15/09/2024 ;08:00:00;60009.41;60067.55;59920.58;59991.79;27
15/09/2024 ;09:00:00;59990.32;59991.78;59921.01;59965.85;24
15/09/2024 ;10:00:00;59965.85;59994.43;59900.0;59945.9;22
15/09/2024 ;11:00:00;59945.89;59969.8;59863.9;59943.79;27
15/09/2024 ;12:00:00;59925.49;59970.0;59802.91;59970.0;34
15/09/2024 ;13:00:00;59970.0;60217.55;59970.0;60088.7;38
15/09/2024 ;14:00:00;60069.5;60128.21;59800.41;60088.5;44
15/09/2024 ;15:00:00;60088.5;60201.67;59975.3;60139.32;36
15/09/2024 ;16:00:00;60146.4;60189.5;59768.81;59878.61;47
15/09/2024 ;17:00:00;59878.56;59962.3;59676.7;59741.01;48
15/09/2024 ;18:00:00;59741.01;60045.66;59629.68;59880.6;43
15/09/2024 ;19:00:00;59880.6;60000.89;59691.44;59791.58;32
15/09/2024 ;20:00:00;59791.58;59815.79;59654.91;59761.54;44
15/09/2024 ;21:00:00;59748.17;59782.4;59459.2;59572.16;38
15/09/2024 ;22:00:00;59582.92;59582.92;59391.99;59391.99;38
15/09/2024 ;23:00:00;59450.52;59451.76;58690.41;59114.86;51
16/09/2024 ;00:00:00;59082.3;59157.89;58627.54;58637.77;45
16/09/2024 ;01:00:00;58684.95;58854.65;58422.7;58623.47;53
16/09/2024 ;02:00:00;58632.69;58632.7;58197.54;58253.2;45
16/09/2024 ;03:00:00;58312.03;58535.77;58226.07;58535.77;31
16/09/2024 ;04:00:00;58563.2;58563.2;58307.07;58368.29;35
16/09/2024 ;05:00:00;58368.29;58634.0;58311.51;58610.7;26
16/09/2024 ;06:00:00;58610.68;58822.97;58564.12;58685.42;24
16/09/2024 ;07:00:00;58690.8;58992.36;58678.81;58925.38;28
16/09/2024 ;08:00:00;58931.49;59119.01;58878.42;58878.42;21
16/09/2024 ;09:00:00;58940.57;59011.6;58623.63;58675.76;27
16/09/2024 ;10:00:00;58600.29;58730.17;58533.67;58730.17;26
16/09/2024 ;11:00:00;58687.51;58803.39;58631.37;58631.37;21
16/09/2024 ;12:00:00;58626.88;58781.9;58485.98;58576.09;25
16/09/2024 ;13:00:00;58590.49;58618.83;58163.42;58455.42;36
16/09/2024 ;14:00:00;58466.92;58525.65;57761.28;57761.28;49
16/09/2024 ;15:00:00;57763.67;57950.0;57613.12;57924.21;44
16/09/2024 ;16:00:00;57874.69;57925.29;57716.41;57834.51;37
16/09/2024 ;17:00:00;57821.48;58294.2;57504.72;58197.69;47
16/09/2024 ;18:00:00;58197.69;58197.69;57735.12;57858.29;39
16/09/2024 ;19:00:00;57925.29;58024.27;57823.04;57900.21;43
16/09/2024 ;20:00:00;57927.11;58148.62;57745.87;57816.11;45
16/09/2024 ;21:00:00;57815.96;58035.58;57750.2;58035.58;44
16/09/2024 ;22:00:00;57987.77;58373.86;57910.7;57985.1;41
16/09/2024 ;23:00:00;58048.46;58433.64;57985.18;58274.77;37
17/09/2024 ;00:00:00;58260.63;58324.93;57700.0;57700.0;36
17/09/2024 ;01:00:00;57753.65;57978.89;57700.0;57905.46;37
17/09/2024 ;02:00:00;57881.35;58221.91;57848.82;58090.57;39
17/09/2024 ;03:00:00;58127.89;58141.89;58005.7;58043.42;27
17/09/2024 ;04:00:00;58099.12;58318.48;58058.12;58235.77;32
17/09/2024 ;05:00:00;58238.01;58750.1;58235.77;58637.75;32
17/09/2024 ;06:00:00;58622.15;58648.77;58461.8;58541.5;27
17/09/2024 ;07:00:00;58541.5;58668.91;58506.63;58668.53;18
17/09/2024 ;08:00:00;58668.54;58822.97;58644.21;58749.86;23
17/09/2024 ;09:00:00;58733.48;59061.17;58694.91;59007.4;32
17/09/2024 ;10:00:00;58991.66;59246.19;58891.32;59187.79;40
17/09/2024 ;11:00:00;59252.96;59268.41;59060.81;59101.71;36
17/09/2024 ;12:00:00;59167.65;59406.18;59076.73;59399.81;34
17/09/2024 ;13:00:00;59288.41;59399.81;58900.0;58936.2;38
17/09/2024 ;14:00:00;58971.23;60347.37;58936.2;60202.39;58
17/09/2024 ;15:00:00;60233.35;61235.36;60218.01;61052.17;64
17/09/2024 ;16:00:00;61117.87;61193.1;60669.76;60766.9;60
17/09/2024 ;17:00:00;60682.31;60870.14;60422.6;60831.3;46
17/09/2024 ;18:00:00;60846.4;60900.0;60406.52;60569.0;48
17/09/2024 ;19:00:00;60564.7;60662.45;59650.34;59914.06;49
17/09/2024 ;20:00:00;60016.32;60292.93;59782.49;60062.53;43
17/09/2024 ;21:00:00;60080.59;60373.06;60067.83;60250.0;41
17/09/2024 ;22:00:00;60272.64;60317.24;60120.01;60228.8;33
17/09/2024 ;23:00:00;60220.53;60292.7;59997.9;60223.65;42
18/09/2024 ;00:00:00;60230.18;60300.0;59890.41;60252.98;46
18/09/2024 ;01:00:00;60252.66;60265.61;60004.41;60026.53;30
18/09/2024 ;02:00:00;60143.3;60308.86;60026.53;60290.3;34
18/09/2024 ;03:00:00;60290.31;60712.15;60290.31;60562.95;42
18/09/2024 ;04:00:00;60516.52;60661.37;60315.32;60398.7;34
18/09/2024 ;05:00:00;60406.76;60406.77;60195.02;60263.88;32
18/09/2024 ;06:00:00;60182.22;60406.52;60182.22;60380.49;41
18/09/2024 ;07:00:00;60380.49;60424.6;60266.89;60367.7;24
18/09/2024 ;08:00:00;60321.25;60321.25;60062.93;60192.08;33
18/09/2024 ;09:00:00;60124.5;60192.08;59800.0;59853.85;38
18/09/2024 ;10:00:00;59800.0;59945.48;59586.0;59931.77;45
18/09/2024 ;11:00:00;59903.0;60037.7;59881.96;60035.93;31
18/09/2024 ;12:00:00;59990.0;60040.55;59786.2;60040.55;30
18/09/2024 ;13:00:00;60045.63;60150.0;59500.25;59595.97;38
18/09/2024 ;14:00:00;59505.5;59748.9;59390.0;59508.4;48
18/09/2024 ;15:00:00;59508.4;59732.8;59385.21;59485.69;38
18/09/2024 ;16:00:00;59383.0;59950.0;59346.61;59950.0;43
18/09/2024 ;17:00:00;59950.0;60229.52;59637.26;59977.03;45
18/09/2024 ;18:00:00;59926.14;61235.0;59910.1;60605.0;57
18/09/2024 ;19:00:00;60686.35;60686.35;59996.32;60071.13;44
18/09/2024 ;20:00:00;60045.66;60282.37;59516.58;60221.71;43
18/09/2024 ;21:00:00;60224.27;60447.36;60170.34;60225.82;36
18/09/2024 ;22:00:00;60285.77;60645.08;60274.54;60610.35;39
18/09/2024 ;23:00:00;60664.43;61600.0;60619.67;61480.81;51
19/09/2024 ;00:00:00;61480.86;62318.13;61480.83;62152.48;64
19/09/2024 ;01:00:00;62152.48;62164.16;61541.34;61855.0;56
19/09/2024 ;02:00:00;61802.91;62114.77;61700.0;62114.71;51
19/09/2024 ;03:00:00;62114.71;62150.49;61919.03;62079.3;47
19/09/2024 ;04:00:00;62093.7;62115.0;61892.73;62034.8;47
19/09/2024 ;05:00:00;62053.4;62115.0;61901.0;61940.0;30
19/09/2024 ;06:00:00;61900.17;62099.98;61824.25;62021.57;31
19/09/2024 ;07:00:00;62054.52;62115.72;61985.0;62115.52;22
19/09/2024 ;08:00:00;62115.42;62156.75;61887.3;61969.78;29
19/09/2024 ;09:00:00;62031.42;62273.45;61969.78;62236.03;34
19/09/2024 ;10:00:00;62274.35;62660.64;62239.3;62365.81;42
19/09/2024 ;11:00:00;62334.69;62546.95;62120.5;62546.95;55
19/09/2024 ;12:00:00;62546.96;63000.0;62374.48;62870.34;47
19/09/2024 ;13:00:00;62740.73;63100.0;62642.75;62839.11;47
19/09/2024 ;14:00:00;62994.04;63312.18;62845.18;62919.38;50
19/09/2024 ;15:00:00;62917.08;63243.7;62841.8;63120.19;48
19/09/2024 ;16:00:00;63042.76;63638.27;62990.52;63512.81;54
19/09/2024 ;17:00:00;63512.81;63828.39;63260.07;63764.72;52
19/09/2024 ;18:00:00;63750.39;63794.46;63427.2;63541.58;42
19/09/2024 ;19:00:00;63560.52;63629.67;63159.89;63266.01;47
19/09/2024 ;20:00:00;63265.72;63265.72;63011.77;63049.95;46
19/09/2024 ;21:00:00;63049.95;63050.0;62841.21;62899.91;48
19/09/2024 ;22:00:00;62899.62;62979.05;62677.4;62921.8;54
19/09/2024 ;23:00:00;62872.06;62972.46;62778.5;62852.8;38
20/09/2024 ;00:00:00;62855.79;62899.99;62671.3;62782.39;49
20/09/2024 ;01:00:00;62782.37;63104.62;62621.0;63028.07;44
20/09/2024 ;02:00:00;63058.44;63086.49;62821.82;63017.31;33
20/09/2024 ;03:00:00;63099.19;63664.15;63039.19;63664.15;38
20/09/2024 ;04:00:00;63679.11;64077.58;63647.26;63800.93;63
20/09/2024 ;05:00:00;63869.05;63944.72;63621.09;63690.03;45
